"INSTITUTION","WEBADDR","CITY","STATE","ACCREDITED (Y/N)","ACCREDITATION","PUBLIC","PRIVATE","4-YEAR","2 YEAR (Assoc.)","GRAD","TECHNICAL","APPRENTICE","K-12","# TOTAL PROG","# STEM PROG","ACADEMIC","ONLINE/IN PERSON","START DATE","PROG LENGTH","# BATT SPECIFIC PROGRAMS","# BATT RELATED","BATT SPECIFIC","SPECIFIC PROGRAM TYPE","COURSE #","PROG NAME","PROG POC","PROG E-MAIL","PROG PHONE","PROG WEB","PROG PREREQ:","PROG COST","AVENUES FOR FUNDING","PROG ADDRESS","PROSPECTIVE JOBS (Rough Estimate)"
"University of California-San Diego","www.ucsd.edu/","San Diego","California ","Yes","WSCUC","Yes","No","Yes","No","Yes","Yes","No","Yes","240","85","Yes","In Person","Fall","2-6 years","7","1","Yes","Research","Program","Regenerable Lithium-Ion Batteries with High Energy and Long Life","Zheng Chen","zhc199@ucsd.edu","Unknown","https://arpa-e.energy.gov/programs-and-initiatives/search-all-projects/regenerable-lithium-ion-batteries-high-energy-and-long-life","Contact POC for more information","Contact POC for more information","Grants","UC San Diego Jacobs School of Engineering, 9500 Gilman Drive, La Jolla, CA 92093","Battery design engineer; electrochemical systems analyst; energy storage engineer"
"University of California-San Diego","www.ucsd.edu/","San Diego","California ","Yes","WSCUC","Yes","No","Yes","No","Yes","Yes","No","Yes","240","85","Yes","In Person","Fall","2-6 years","7","1","Yes","Research","Program","Expanding UC San Diego's Lithium-Ion Energy Storage to 10 MW/40 MWh","UC San Diego Center for Energy Research - Energy Storage","energystorage@ucsd.edu","Unknown","https://www.energystorage.ucsd.edu/projects/expanding-uc-san-diegos-lithium-ion-energy-storage-to-10-mw-40-mwh","Contact POC for more information","Contact POC for more information","Grants","UC San Diego Jacobs School of Engineering, 9500 Gilman Drive #0417, La Jolla, CA 92093","Battery design engineer; electrochemical systems analyst; energy storage engineer"
"University of California-San Diego","www.ucsd.edu/","San Diego","California ","Yes","WSCUC","Yes","No","Yes","No","Yes","Yes","No","Yes","240","85","Yes","In Person","Fall","2-6 years","7","1","Yes","Research","Program","Enhancing Grid Stability with BYD's 2.5 MW/5 MWh Battery System","UC San Diego Center for Energy Research - Energy Storage","energystorage@ucsd.edu","Unknown","https://www.energystorage.ucsd.edu/projects/enhancing-grid-stability-with-byds-2-5-mw-5-mwh-battery-system","Contact POC for more information","Contact POC for more information","Grants","UC San Diego Jacobs School of Engineering, 9500 Gilman Drive #0417, La Jolla, CA 92093","Battery design engineer; electrochemical systems analyst; energy storage engineer"
"University of California-San Diego","www.ucsd.edu/","San Diego","California ","Yes","WSCUC","Yes","No","Yes","No","Yes","Yes","No","Yes","240","85","Yes","In Person","Fall","2-6 years","7","1","Yes","Research","Program","Performance & Safety Testing of Tyfast's Ultra-Fast Charging Lithium Batteries","UC San Diego Center for Energy Research - Energy Storage","energystorage@ucsd.edu","Unknown","https://www.energystorage.ucsd.edu/projects/performance-safety-testing-of-tyfasts-ultra-fast-charging-lithium-batteries","Contact POC for more information","Contact POC for more information","Grants","UC San Diego Jacobs School of Engineering, 9500 Gilman Drive #0417, La Jolla, CA 92093","Battery design engineer; electrochemical systems analyst; energy storage engineer"
"University of California-San Diego","www.ucsd.edu/","San Diego","California ","Yes","WSCUC","Yes","No","Yes","No","Yes","Yes","No","Yes","240","85","No","Online","Winter/Summer","1 quarter","7","1","Yes","Course","EE 40171","Electrical Energy Storage","UC San Diego Extended Studies - Engineering","ucnexengr@ucsd.edu","858?534?9152","https://extendedstudies.ucsd.edu/courses/electrical-energy-storage-ee-40171","BS in EE or equivalent plus EE?40174 or equivalent knowledge","https://grad.ucsd.edu/financial/tuition-fees.html","Employer Sponsored Professional Development","9500 Gilman Dr., La Jolla, CA 92093","Energy storage analyst; grid storage system specialist"
"University of California-San Diego","www.ucsd.edu/","San Diego","California ","Yes","WSCUC","Yes","No","Yes","No","Yes","Yes","No","Yes","240","85","Yes","In Person","Fall","1 semester","7","1","Yes","Course","MATS 256","Energy Materials and Applications","MATS Graduate Program Coordinator","mats@ucsd.edu","858?534?2230","https://catalog.ucsd.edu/courses/MATS.html","Graduate standing or consent","https://grad.ucsd.edu/financial/tuition-fees.html","Graduate Assistantships","9500 Gilman Dr., La Jolla, CA 92093","Energy materials researcher; battery cell engineer; storage systems R&D"
"University of California-San Diego","www.ucsd.edu/","San Diego","California ","Yes","WSCUC","Yes","No","Yes","No","Yes","Yes","No","Yes","240","85","Yes","In Person","Fall","1 semester","7","1","No","Course","ECE 129","Renewable and Energy Storage Resources","ECE Undergraduate Advising","eceugrad@ucsd.edu","858?534?2230","https://catalog.ucsd.edu/courses/ECE.html","Upper-division standing (per catalog)","https://grad.ucsd.edu/financial/tuition-fees.html","Financial Aid: Scholarships, Grants, Loans","9500 Gilman Dr., La Jolla, CA 92093","Energy systems analyst; grid/infrastructure designer"
"University of California-Santa Barbara","www.ucsb.edu/","Santa?Barbara","California ","Yes","WSCUC","Yes","No","Yes","No","Yes","Yes","No","No","326","106","Yes","In Person","Fall","1 semester","1","1","Yes","Course","ME 125ES","Electrochemical Devices & Batteries","Mechanical Engineering Undergraduate Office","engineering@ucsb.edu","805-893?4601","https://catalog.ucsb.edu/courses/ME%20125ES","Upper?division mech/thermo background (see catalog)","https://registrar.sa.ucsb.edu/tuition-fees/quarterly-tuition-fees","Scholarships","Engineering II Building, Santa Barbara, CA 93117","Battery design engineer; energy storage R&D technician; electrochemical device developer"
"University of California-Santa Barbara","www.ucsb.edu/","Santa?Barbara","California ","Yes","WSCUC","Yes","No","Yes","No","Yes","Yes","No","No","326","106","Yes","In Person","Fall","1 semester","1","1","No","Course","ESM 293-1F","Energy Systems Lab","Sage Davis, Bren School","admissions@bren.ucsb.edu","805-893?8452","https://bren.ucsb.edu/courses/esm-293-1f","Graduate standing in env. science/engineering","https://registrar.sa.ucsb.edu/tuition-fees/quarterly-tuition-fees","Graduate Assistantships","2400 Bren Hall, Santa Barbara, CA 93106","Energy systems analyst; renewable systems engineer; grid storage specialist"
"University of California-Santa Cruz","www.ucsc.edu/","Santa Cruz","California ","Yes","WSCUC","Yes","No","Yes","No","Yes","Yes","No","No","168","79","Yes","In Person","Fall","1 quarter","1","1","No","Course","ECE 180J","Advanced Renewable Energy Sources, Storage, and Smart Grids","Yu Zhang (Instructor listed)","help@soe.ucsc.edu","831-459?3800","https://courses.engineering.ucsc.edu/courses/ece180J","Calculus & Physics prerequisites (per catalog)","https://financialaid.ucsc.edu/cost-to-attend/undergraduate-costs.html","Financial Aid: Scholarships, Grants, Loans","Baskin Engineering Building, UC Santa Cruz, CA 95064","Energy systems analyst; smart grid engineer; storage policy advisor"
"University of California-Santa Cruz","www.ucsc.edu/","Santa Cruz","California ","Yes","WSCUC","Yes","No","Yes","No","Yes","Yes","No","No","168","79","No","In Person","Fall","1 semester","1","1","Yes","Internship","Program","SIP Project  Rechargeable Zinc Batteries","Prof. Shaowei Chen","shaowei@ucsc.edu","831-459-5841","https://sip.ucsc.edu/2025-research-projects/","None","None (internship funded)","Grants","Chemistry Department, 1156 High St, Santa Cruz, CA 95064","Battery R&D assistant; electrochemistry researcher; lab technician"
"University of Illinois Urbana-Champaign","www.illinois.edu/","Urbana","Illinois","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","No","250","75","Yes","In Person","Spring","1 semester","3","1","Yes","Course","MSE 466","Electrochemical Energy Conversion","MSE department advising  matse@illinois.edu","matse@illinois.edu","217-333-1441","https://matse.illinois.edu/academics/courses/mse466","MSE?304 or equivalent","~$3,750 (3 units × $1,250)","Financial Aid: Scholarships, Grants, Loans","201 Materials Science & Engineering Bldg, 1304 W?Green St, Urbana, IL 61801","Battery materials engineer; energy systems R&D technician"
"University of Illinois Urbana-Champaign","www.illinois.edu/","Urbana","Illinois","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","No","250","75","Yes","In Person","Fall","1 semester","3","1","Yes","Course","MSE 522","Solid State Ionics","Grad Program Coordinator  matse@illinois.edu","matse@illinois.edu","217-333-1441","https://matse.illinois.edu/academics/courses/mse522","MSE?401, 403, 420, 422 or equivalent","~$5,000 (4 units × $1,250)","Graduate Assistantships","201 Materials Science & Engineering Bldg, 1304 W?Green St, Urbana, IL 61801","Battery materials researcher; energy storage R&D scientist"
"University of Illinois Urbana-Champaign","www.illinois.edu/","Urbana","Illinois","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","No","250","75","Yes","In Person","Fall","1 semester","3","1","No","Course","ECE 333","Green Electric Energy","ECE Department  see course listing","ece@illinois.edu","217-333-1441","https://ece.illinois.edu/academics/courses/ece333","ECE?205 or 210","~$1,250/unit × 3 units = ~$3,750","Financial Aid: Scholarships, Grants, Loans","306 Beckman Institute, Urbana, IL?61801","Energy systems engineer; grid storage specialist; policy analyst"
"University of Illinois Urbana-Champaign","www.illinois.edu/","Urbana","Illinois","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","No","250","75","Yes","In Person","Fall","1 semester","3","1","Yes","Course","ECE 469","Power Electronics Lab","ECE Lab Coordinator  department","ece@illinois.edu","217-333-1441","https://ece.illinois.edu/academics/courses/ece469","ECE?443 and concurrent ECE?464","~$1,250/unit × 1 unit = $1,250","Financial Aid: Scholarships, Grants, Loans","ECE Lab Wing, EECS Building, Urbana, IL?61801","Battery test engineer; power electronics specialist; EV integration engineer"
"University of Illinois Chicago","www.uic.edu/","Chicago","Illinois","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","No","343","107","Yes","In Person","Fall","1 semester","2","0","Yes","Course","CHE 451","Renewable Energy Technologies","Chemical Engineering Department  Dr. Vikas Berry (Chair)","vikasb@uic.edu","312-996-3424","https://catalog.uic.edu/all-course-descriptions/che/","CHE?312, 313, and CHE?321 (or equivalent)","https://registrar.uic.edu/financial-matters/graduate-tuition-and-fees/","Financial Aid: Scholarships, Grants, Loans","Engineering Innovation Building, 929 W Taylor St, Chicago, IL 60606","Battery systems engineer; renewable energy analyst; energy storage R&D disciple"
"University of Illinois Chicago","www.uic.edu/","Chicago","Illinois","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","No","343","107","Yes","In Person","Fall","1 semester","2","0","Yes","Course","ME 494","Electrochemical Energy Storage Modeling","Energy Storage & Conversion Modeling Lab  Prof.  (see lab page)","matse@illinois.edu","217-333-1441","https://escm.lab.uic.edu/teaching/"," Thermo, transport, mass/heat transfer prerequisites","https://registrar.uic.edu/financial-matters/graduate-tuition-and-fees/","Financial Aid: Scholarships, Grants, Loans","Engineering Innovation Building, 929 W Taylor St, Chicago, IL 60607","Battery modeling analyst; energy storage researcher"
"University of Illinois Springfield","www.uis.edu/","Springfield","Illinois","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","No","147","19","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","One University Plaza, Springfield, IL?62703","Unknown"
"University of Pennsylvania","www.upenn.edu/","Philadelphia","Pennsylvania","Yes","MSCHE","No","Yes","Yes","No","Yes","Yes","No","No","547","183","Yes","In Person","Fall","1 semester","1","0","Yes","Course","CBE 5450","Electrochemical Energy Conversion & Storage","Chemical & Biomolecular Engineering Dept.","cbe@seas.upenn.edu","215-898?4453","https://catalog.upenn.edu/courses/mse/?utm_source=chatgpt.com","Graduate standing or equivalent","https://srfs.upenn.edu/costs-budgeting/undergraduate-cost-attendance","Financial Aid: Scholarships, Grants, Loans","Towne Building, 220 S. 33rd Street, Philadelphia, PA 19104","Battery systems engineer; energy storage scientist; R&D specialist"
"University of Florida","https://www.ufl.edu/","Gainesville","Florida","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","453","130","Yes","In Person","Fall/Spring","1 semester","2","0","Yes","Certificate","Program","Sustainable and Resilient Energy Engineering Certificate","Mechanical & Aerospace Engineering advising","advising@mae.ufl.edu","352-392?0962","https://catalog.ufl.edu/UGRD/colleges-schools/UGENG/ENG_UCT13/","GPA???3.0, engineering major","~$4,500 total","Financial Aid: Scholarships, Grants, Loans","NEB Buidling, 1064 Center Drive, Gainesville, FL 32611","Battery design engineer; energy systems specialist; EV systems technician"
"University of Florida","https://www.ufl.edu/","Gainesville","Florida","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","453","130","Yes","In Person","Fall","1 semester","2","0","Yes","Course","EEL 4287/EEL 5285","Smart Grid for Sustainable Energy","Prof. Sean Meyn","meyn@ece.ufl.edu","352-392?6227","https://meyn.ece.ufl.edu/courses/sgcourse/","EEL?4657C or Linear Controls + MATLAB","~$3,375 (3 credits × $1,125)","Financial Aid: Scholarships, Grants, Loans","NEB Buidling, 1064 Center Drive, Gainesville, FL 32612","Smart grid engineer; battery systems integrator; energy policy analyst"
"University of Central Florida","www.ucf.edu/","Orlando","Florida","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","240","159","Yes","In Person","Fall","1 semester","1","0","Yes","Course","EMA 3706-002","Battery Energy Storage System Lab","Prof. Yuxun Ren","yuxun.ren@ucf.edu","Unknown","https://mse.ucf.edu/yuxunren/teaching/","Intro materials & power engineering courses (inferredcatalog check needed)","https://www.ucf.edu/admissions/undergraduate/tuition-aid/#cost","Financial Aid: Scholarships, Grants, Loans","NanoScience Tech Center, 13767 Research Pkwy, Orlando, FL 32826","Battery R&D technician; battery system integration specialist; lab engineer"
"University of North Florida","https://www.unf.edu/","Jacksonville","Florida","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","212","56","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","1 UNF Drive, Jacksonville, FL?32224","Unknown"
"University of South Florida","www.usf.edu/","Tampa","Florida","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","240","100","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","4202 East Fowler Avenue, Tampa, FL 33620","Unknown"
"University of West Florida","uwf.edu/","Pensacola","Florida","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","120","53","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","11000 University Parkway, Pensacola, FL 32514","Unknown"
"University of Virginia-Main Campus","https://www.virginia.edu/","Charlottesville","Virginia ","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","205","60","Yes","In Person","Fall","1 semester","2","0","Yes","Course","MSE 6080","Chemical & Electrochemical Properties","Materials Science & Engineering graduate coordinator (see catalog)","mse-gpc@virginia.edu","434-924?8201","UVA Records Course Preview (MSE?6080)","Background in physical chemistry/materials science","Estimated Graduate Cost of Attendance | Student Financial Services","Financial Aid: Scholarships, Grants, Loans","Wilsdorf Hall, 395 McCormick Rd, Charlottesville, VA 22903","Battery materials engineer; electrochemical researcher; energy storage scientist"
"University of Virginia-Main Campus","https://www.virginia.edu/","Charlottesville","Virginia ","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","205","60","Yes","In Person","Fall","1 semester","2","0","Yes","Course","CHEM 5370","Electrochemistry for Energy Storage & Conversion","Chemistry Graduate Coordinator (see dept directory)","chem-grad@virginia.edu","434-924?3131","UVA Records Course Preview (CHEM?5370)","Undergraduate physical chemistry required","Estimated Graduate Cost of Attendance | Student Financial Services","Financial Aid: Scholarships, Grants, Loans","Chemistry Building, 490 McCormick Rd, Room 107, Charlottesville, VA 22904","Energy storage scientist; materials engineer; electrochem analyst"
"University of Massachusetts-Amherst","www.umass.edu/","Amherst","Massachusetts","Yes","NECHE","Yes","No","Yes","No","Yes","Yes","No","No","236","74","Yes","In Person","Fall","1 semester","1","0","Yes","Course","CHEM ENG 562","Electrochemical & Electronic Materials and Devices","Prof. Nianqiang Wu","nianqiangwu@umass.edu","413-545?6175","https://people.umass.edu/nianqiangwu/mae493/syllabus-MAE493.pdf","Junior/Senior standing or permission","Undergraduate Costs : UMass Amherst","Financial Aid: Scholarships, Grants, Loans","154B Goessmann Lab, 686 N Pleasant St, Amherst, MA 01003","Battery materials scientist; electrochemical engineer; energy storage R&D"
"University of Massachusetts-Boston","www.umb.edu/","Boston","Massachusetts","Yes","NECHE","Yes","No","Yes","No","Yes","Yes","No","No","200","33","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","100 Morrissey Blvd, Boston, MA 02125","Unknown"
"University of Massachusetts-Dartmouth","www.umassd.edu/","Dartmouth","Massachusetts","Yes","NECHE","Yes","No","Yes","No","Yes","Yes","No","No","179","58","Unknown","Unknown","Unknown","Unknown","0","1","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","285 Old Westport Rd, Dartmouth, MA?02747","Unknown"
"University of Massachusetts-Lowell","www.uml.edu/","Lowell","Massachusetts","Yes","NECHE","Yes","No","Yes","No","Yes","Yes","No","No","188","111","Yes","In Person","Fall","1 semester","1","1","Yes","Course","MECH 5290","Fuel Cell Fundamentals","Fuqiang Liu","fuqiang_liu@umi.edu","978-934-2927","https://www.uml.edu/catalog/courses/mech/5290","Undergraduate thermo or electrochemical engineering","Graduate Tuition and Fees | My Bill | The Solution Center | UMass Lowell","Financial Aid: Scholarships, Grants, Loans","Dandeneau Hall, 1 University Ave, Lowell, MA?01854","Battery/fuel cell R&D technician; energy storage engineer; systems analyst"
"University of Massachusetts-Lowell","www.uml.edu/","Lowell","Massachusetts","Yes","NECHE","Yes","No","Yes","No","Yes","Yes","No","No","188","111","Yes","Online","Fall","9 months","1","1","No","Certificate","Program","Graduate Certificate in Renewable Energy Engineering","Benjamin Adoo","benjamin_adoo@uml.edu","978-934-4307","https://gps.uml.edu/certificates/grad/online-renewable-energy-engineering-graduate-certificate.cfm","Bachelor's in engineering/science; GPA requirement","Graduate Tuition and Fees | My Bill | The Solution Center | UMass Lowell","Financial Aid: Scholarships, Grants, Loans","839 Merrimack Street, Lowell, MA 01854","Renewable energy engineer; energy systems analyst; PV system designer"
"University of North Carolina at Chapel Hill","https://www.unc.edu/","Chapel Hill","North Carolina","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","Yes","No","260","116","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","Unknown","Unknown"
"University of North Carolina at Charlotte","https://www.charlotte.edu/","Charlotte","North Carolina","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","170","99","Yes","In Person","Fall/Spring","1 year","2","0","Yes","Research","Program","Battery Engineering","Lin Ma & Anthony Bombik","l.ma@charlotte.edu & abombik@charlotte.edu","707-687-8350 & 707-687-7943","https://mees.charlotte.edu/battery-engineering/","https://mees.charlotte.edu/graduate-programs/graduate-admission/#:~:text=megrad%40charlotte.edu-,REQUIREMENTS,-Applicants%20are%20encouraged","https://admissions.charlotte.edu/financing-your-education/cost-of-attendance/","Financial Aid: Scholarships, Grants, Loans","9201 University City Blvd, Charlotte, NC 28223","Battery systems engineer, battery specialist, battery management specialist"
"University of North Carolina at Charlotte","https://www.charlotte.edu/","Charlotte","North Carolina","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","170","99","Yes","In Person","Fall/Spring","2 days","2","0","Yes","Research","Program","Battery Safety Workshop","Anthony Bombik","abombik@charlotte.edu","707-687-7943","https://battcave.charlotte.edu/2025-battery-safety-workshop/","Contact POC for more information","Contact POC for more information","Employer Sponsored Professional Development","9201 University City Blvd, Charlotte, NC 28223","Battery systems engineer, battery specialist, battery management specialist"
"University of North Carolina at Greensboro","www.uncg.edu/","Greensboro","North Carolina","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","350","49","Yes","Unknown","Fall","1 year","1","0","Yes","Certificate","Program","Battery Fabrication 101","Hemali Rathnayake","hprathna@uncg.edu","Unknown","https://bright.uncg.edu/about/#:~:text=Training%20%26%20Certificate%20Programs-,WORKFORCE%20TRAINING%20%26%20CERTIFICATE%20PROGRAMS,-Hands%2Don%20training","Contact POC for more information","https://www.uncg.edu/costs-aid-scholarships/","Financial Aid: Scholarships, Grants, Loans","1400 Spring Garden St, Greensboro, NC 27412","Battery systems engineer, battery specialist, battery management specialist"
"University of North Carolina at Pembroke","https://www.uncp.edu/","Pembroke","North Carolina","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","No","No","150","42","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","1 University Dr, Pembroke, NC 28372","Unknown"
"University of North Carolina Wilmington","www.uncw.edu/","Wilmington","North Carolina","Yes","SACSCOC","Yes","No","Yes","No","Yes","Yes","Yes","No","280","105","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","601 College Rd, Wilmington, NC 29403","Unknown"
"Rutgers University-New Brunswick","https://newbrunswick.rutgers.edu/","New Brunswick","New Jersey ","Yes","MSCHE","Yes","No","Yes","Yes","Yes","Yes","No","No","550","141","No","Online","Fall/Spring/Summer","1 day","1","2","Yes","Course","HARMLB","Managing Lithium-ion Batteries","Michael Presutti","rutgerstraining@sph.rutgers.edu","732-235-9450","https://rutgerstraining.sph.rutgers.edu/wconnect/ShowSchedule.awp?&Criteria=cocatcode=[HARMLB]+AND+NOT+cocrse=[HAR022825W]&Title=Other+Dates/Locations&Descript=Catalog+Code:+HARMLB","None","None","None","Center for Public Health Workforce Development, 300 Atrium Drive, Somerset, NJ 08873","Battery systems engineer, battery specialist, battery management specialist"
"The University of Montana","www.umt.edu/","Missoula","Montana","Yes","NWCCU","Yes","No","Yes","Yes","Yes","Yes","No","No","175","54","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","32 Campus Dr, Missoula, MT 59812","Unknown"
"University of Minnesota-Crookston","https://crk.umn.edu/","Crookston","Minnesota","Yes","HLC","Yes","No","Yes","Yes","Yes","Yes","Yes","No","300","56","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","2900 University Ave, Crookston, MN 56716","Unknown"
"University of Minnesota-Duluth","https://www.d.umn.edu/","Duluth","Minnesota","Yes","HLC","Yes","No","Yes","No","Yes","Yes","Yes","No","215","48","Yes","In Person","Fall","1 year","0","0","No","Minor","Program","Energy Engineering","Department of Electrical Engineering","umdee@d.umn.edu","218-726-6830","https://umd.catalog.prod.coursedog.com/programs/2274MIN50","https://umd.catalog.prod.coursedog.com/programs/2274MIN50#:~:text=Admission%20details-,Requirements,-Contact%20information","https://admissions.d.umn.edu/costs-and-aid","Financial Aid: Scholarships, Grants, Loans","271 MWAH, 1023 University Drive, Duluth, MN 55812","Energy engineer, electrical engineer, energy systems engineer"
"University of Minnesota-Morris","https://morris.umn.edu/","Morris","Minnesota","Yes","HLC","Yes","No","Yes","No","No","Yes","No","No","76","29","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","600 E 4th St, Morris, MN 56267","Unknown"
"University of Minnesota-Twin Cities","https://twin-cities.umn.edu/","Minneapolis","Minnesota","Yes","HLC","Yes","No","Yes","No","Yes","Yes","Yes","No","564","73","Yes","In Person","Fall","4 years","0","2","No","Bachelor's","Program","Electrical Engineering","James Leger","leger@unm.edu","612-625-0838","https://cse.umn.edu/ece/bachelors-degree-electrical-engineering","https://cse.umn.edu/ece/admission-ece-programs","https://twin-cities.umn.edu/academics-admissions#:~:text=Undergraduate%20Cost%20of%20Attendance%20(2024%2D25)","Financial Aid: Scholarships, Grants, Loans","4-174 Keller Hall, 200 Union St. Se, Minneapolis, MN 55455","Electrical engineer, electrical systems engineer"
"University of Wisconsin-Eau Claire","www.uwec.edu/","Eau Claire","Wisconsin","Yes","HLC","Yes","No","Yes","Yes","Yes","Yes","No","No","200","39","Yes","In Person","Fall","4 years","0","3","No","Bachelor's","Program","Materials Science and Engineering","Dr. Doug Dunham","dunhamdj@uwec.edu","715-836-5312","https://www.uwec.edu/academics/programs/undergraduate/materials-science-and-engineering","https://www.uwec.edu/apply/first-year-student/first-year-admission-requirements","https://www.uwec.edu/tuition-aid/tuition-fees","Financial Aid: Scholarships, Grants, Loans","Phillips Science Hall 177, 101 Roosevelt Avenue, Eau Claire, WI 54701","Materials scientist, material science engineer, battery management "
"University of Wisconsin-Green Bay","www.uwgb.edu/","Green Bay","Wisconsin","Yes","HLC","Yes","No","Yes","Yes","Yes","Yes","No","No","218","25","Yes","In Person","Fall","4 years","0","2","No","Bachelor's","Program","Electrical Engineering","Jagadeep Thota","thotaj@uwgb.edu","920-465-2817","https://catalog.uwgb.edu/undergraduate/programs/electrical-engineering/#curriculumguidetext","High school diploma/GED","https://www.uwgb.edu/apply/cost/","Financial Aid: Scholarships, Grants, Loans","UW-Green Bay, 2420 Nicolet Drive, Green Bay, WI 54311","Electrical engineer, electrical systems engineer"
"University of Wisconsin-La Crosse","www.uwlax.edu/","La Crosse","Wisconsin","Yes","HLC","Yes","No","Yes","Yes","Yes","Yes","Yes","No","187","97","Unknown","Unknown","Unknown","Unknown","0","0","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Financial Aid: Scholarships, Grants, Loans","1725 State St, La Crosse, WI 54601","Unknown"
"University of Wisconsin-Madison","www.wisc.edu/","Madison","Wisconsin","Yes","HLC","Yes","No","Yes","No","Yes","Yes","No","No","450","205","Yes","Online","Fall/Spring","2-4 years","0","6","No","Master's","Program","Electrical & Computer Engineering: Power Engineering MS","Hongrui Jiang","hongruijiang@wisc.edu","608-265-9418","https://pdc.wisc.edu/degrees/electrical-and-computer-eng-power-ms/?utm_source=wiscweb&utm_medium=coe&utm_campaign=pdc_eng_interpro&utm_term=&utm_content=Power","https://pdc.wisc.edu/degrees/electrical-and-computer-eng-power-ms/?utm_source=wiscweb&utm_medium=coe&utm_campaign=pdc_eng_interpro&utm_term=&utm_content=Power#overview:~:text=Program%20requirements","$1,600 per credit","Financial Aid: Scholarships, Grants, Loans","3340, Engineering Hall 1415 Engineering Dr Madison, WI 53706","Electrical engineer, electrical systems engineer, computer engineer"
